Precisión	Probabilidad	Error	Tiempo (ms)
0.1	9.65057e-28	2.5461e-28	6745
0.118	9.65057e-28	2.5461e-28	6744
0.136	8.949e-28	3.42913e-28	1335
0.154	8.949e-28	3.42913e-28	1369
0.172	8.949e-28	3.42913e-28	1376
0.19	8.949e-28	3.42913e-28	1366
0.208	8.949e-28	3.42913e-28	1362
0.226	8.949e-28	3.42913e-28	1355
0.244	8.949e-28	3.42913e-28	1364
0.262	8.949e-28	3.42913e-28	1370
0.28	8.949e-28	3.42913e-28	1358
0.298	8.949e-28	3.42913e-28	1357
0.316	8.949e-28	3.42913e-28	1353
0.334	8.949e-28	3.42913e-28	1372
0.352	8.949e-28	3.42913e-28	1360
0.37	8.949e-28	3.42913e-28	1361
0.388	8.949e-28	3.42913e-28	1353
0.406	8.949e-28	3.42913e-28	1349
0.424	8.949e-28	3.42913e-28	1350
0.442	8.949e-28	3.42913e-28	1364
0.46	8.949e-28	3.42913e-28	1365
0.478	8.949e-28	3.42913e-28	1356
0.496	8.949e-28	3.42913e-28	1353
0.514	8.949e-28	3.42913e-28	1354
0.532	8.949e-28	3.42913e-28	1354
0.55	8.949e-28	3.42913e-28	1359
0.568	8.949e-28	3.42913e-28	1349
0.586	8.949e-28	3.42913e-28	1356
0.604	8.949e-28	3.42913e-28	1352
0.622	8.949e-28	3.42913e-28	1351
0.64	8.949e-28	3.42913e-28	1347
0.658	8.949e-28	3.42913e-28	1356
0.676	8.949e-28	3.42913e-28	1353
0.694	8.949e-28	3.42913e-28	1350
0.712	8.949e-28	3.42913e-28	1355
0.73	8.949e-28	3.42913e-28	1354
0.748	8.949e-28	3.42913e-28	1355
0.766	8.949e-28	3.42913e-28	1350
0.784	8.949e-28	3.42913e-28	1349
0.802	8.949e-28	3.42913e-28	1358
0.82	8.949e-28	3.42913e-28	1359
0.838	8.949e-28	3.42913e-28	1365
0.856	8.949e-28	3.42913e-28	1360
0.874	8.949e-28	3.42913e-28	1357
0.892	8.949e-28	3.42913e-28	1355
0.91	8.949e-28	3.42913e-28	1357
0.928	8.949e-28	3.42913e-28	1357
0.946	8.949e-28	3.42913e-28	1359
0.964	8.949e-28	3.42913e-28	1354
0.982	8.949e-28	3.42913e-28	1361
