Precisión	Probabilidad	Error	Tiempo (ms)
0.1	0	0	87368
0.118	2.46763e-26	5.03477e-27	84241
0.136	2.37199e-26	6.14406e-27	81335
0.154	2.37131e-26	6.14417e-27	59160
0.172	2.3713e-26	6.14449e-27	38848
0.19	2.37139e-26	6.14482e-27	37488
0.208	2.37139e-26	6.14482e-27	37915
0.226	2.37142e-26	6.14519e-27	34879
0.244	2.266e-26	1.10178e-26	29433
0.262	2.83095e-26	1.47561e-26	24279
0.28	2.83098e-26	1.47564e-26	22956
0.298	2.83098e-26	1.47564e-26	22762
0.316	2.83098e-26	1.47564e-26	22674
0.334	2.83107e-26	1.47568e-26	21413
0.352	2.83231e-26	1.47576e-26	17330
0.37	2.83729e-26	1.47593e-26	14669
0.388	2.83729e-26	1.47593e-26	14854
0.406	2.83528e-26	1.47596e-26	13485
0.424	2.83528e-26	1.47596e-26	13474
0.442	2.83528e-26	1.47596e-26	13457
0.46	2.83367e-26	1.476e-26	8053
0.478	2.87818e-26	1.47853e-26	1340
0.496	2.87818e-26	1.47853e-26	1343
0.514	2.87818e-26	1.47853e-26	1346
0.532	2.87818e-26	1.47853e-26	1341
0.55	2.87818e-26	1.47853e-26	1342
0.568	2.87818e-26	1.47853e-26	1340
0.586	2.87818e-26	1.47853e-26	1339
0.604	2.87818e-26	1.47853e-26	1332
0.622	2.87818e-26	1.47853e-26	1342
0.64	2.87818e-26	1.47853e-26	1338
0.658	2.87818e-26	1.47853e-26	1338
0.676	2.87818e-26	1.47853e-26	1337
0.694	2.87818e-26	1.47853e-26	1335
0.712	2.87818e-26	1.47853e-26	1348
0.73	2.87818e-26	1.47853e-26	1343
0.748	2.87818e-26	1.47853e-26	1340
0.766	2.87818e-26	1.47853e-26	1337
0.784	2.87818e-26	1.47853e-26	1380
0.802	2.87818e-26	1.47853e-26	1334
0.82	2.87818e-26	1.47853e-26	1341
0.838	2.87818e-26	1.47853e-26	1337
0.856	2.87818e-26	1.47853e-26	1333
0.874	2.87818e-26	1.47853e-26	1334
0.892	2.87818e-26	1.47853e-26	1335
0.91	2.87818e-26	1.47853e-26	1343
0.928	2.87818e-26	1.47853e-26	1342
0.946	2.87818e-26	1.47853e-26	1345
0.964	2.87818e-26	1.47853e-26	1341
0.982	2.87818e-26	1.47853e-26	1332
