Precisión	Probabilidad	Error	Tiempo (ms)
0.1	2.12877e-28	8.30144e-29	17046
0.118	2.03691e-28	1.37808e-28	6551
0.136	1.13357e-28	1.17732e-28	1314
0.154	1.13357e-28	1.17732e-28	1312
0.172	1.13357e-28	1.17732e-28	1341
0.19	1.13357e-28	1.17732e-28	1320
0.208	1.13357e-28	1.17732e-28	1350
0.226	1.13357e-28	1.17732e-28	1315
0.244	1.13357e-28	1.17732e-28	1315
0.262	1.13357e-28	1.17732e-28	1315
0.28	1.13357e-28	1.17732e-28	1316
0.298	1.13357e-28	1.17732e-28	1311
0.316	1.13357e-28	1.17732e-28	1319
0.334	1.13357e-28	1.17732e-28	1317
0.352	1.13357e-28	1.17732e-28	1315
0.37	1.13357e-28	1.17732e-28	1317
0.388	1.13357e-28	1.17732e-28	1318
0.406	1.13357e-28	1.17732e-28	1316
0.424	1.13357e-28	1.17732e-28	1343
0.442	1.13357e-28	1.17732e-28	1342
0.46	1.13357e-28	1.17732e-28	1336
0.478	1.13357e-28	1.17732e-28	1334
0.496	1.13357e-28	1.17732e-28	1334
0.514	1.13357e-28	1.17732e-28	1340
0.532	1.13357e-28	1.17732e-28	1355
0.55	1.13357e-28	1.17732e-28	1332
0.568	1.13357e-28	1.17732e-28	1336
0.586	1.13357e-28	1.17732e-28	1336
0.604	1.13357e-28	1.17732e-28	1335
0.622	1.13357e-28	1.17732e-28	1333
0.64	1.13357e-28	1.17732e-28	1338
0.658	1.13357e-28	1.17732e-28	1340
0.676	1.13357e-28	1.17732e-28	1339
0.694	1.13357e-28	1.17732e-28	1333
0.712	1.13357e-28	1.17732e-28	1335
0.73	1.13357e-28	1.17732e-28	1315
0.748	1.13357e-28	1.17732e-28	1313
0.766	1.13357e-28	1.17732e-28	1314
0.784	1.13357e-28	1.17732e-28	1316
0.802	1.13357e-28	1.17732e-28	1335
0.82	1.13357e-28	1.17732e-28	1314
0.838	1.13357e-28	1.17732e-28	1319
0.856	1.13357e-28	1.17732e-28	1317
0.874	1.13357e-28	1.17732e-28	1318
0.892	1.13357e-28	1.17732e-28	1319
0.91	1.13357e-28	1.17732e-28	1319
0.928	1.13357e-28	1.17732e-28	1324
0.946	1.13357e-28	1.17732e-28	1324
0.964	1.13357e-28	1.17732e-28	1324
0.982	1.13357e-28	1.17732e-28	1342
