dL	Probabilidad	Tiempo (s)
1	2.37318e-29	896.289
4	2.39024e-29	224.026
8	2.39037e-29	112.016
12	2.37263e-29	74.628
16	1.63173e-29	55.9671
20	2.54525e-29	44.7647
24	2.41741e-29	37.466
28	2.65395e-29	32.0508
32	1.46776e-29	27.9959
36	2.36506e-29	24.8916
40	2.22683e-29	22.3843
44	2.59779e-28	20.3959
48	1.4489e-29	18.7001
52	1.29623e-29	17.1839
56	2.9102e-29	16.1374
60	1.08975e-29	14.9987
64	5.14499e-29	14.0099
68	7.52794e-30	13.1757
72	7.01117e-30	12.42
76	4.60193e-29	11.7718
80	2.23628e-29	11.2175
84	2.30101e-30	10.6997
88	7.42805e-29	10.1932
92	3.50133e-29	9.7433
96	1.53486e-29	9.30022
100	3.69227e-29	8.94798
104	1.44741e-29	8.62626
108	1.06725e-29	8.34389
112	1.05352e-29	8.01486
116	9.07352e-30	7.77018
120	2.10965e-30	7.47507
124	2.30114e-29	7.23979
128	2.54301e-30	7.03176
132	4.03755e-29	6.84669
136	9.38735e-30	6.5904
140	8.02341e-30	6.41519
144	4.05357e-30	6.22249
148	8.06593e-31	6.02936
152	4.65863e-31	5.90366
156	6.90542e-33	5.72856
160	1.73526e-31	5.59538
164	3.07463e-31	5.45014
168	1.30104e-30	5.36555
172	2.54671e-30	5.23307
176	1.04467e-29	5.08572
180	9.25035e-30	4.95579
184	3.87245e-29	4.86492
188	1.28605e-29	4.74554
192	1.45367e-28	4.6475
196	1.30509e-29	4.58204
