dL	Probabilidad	Tiempo (s)
1	6.2337e-19	319.621
4	6.23374e-19	79.9173
8	6.23378e-19	39.9635
12	6.23421e-19	26.6512
16	6.2337e-19	20.0147
20	6.23392e-19	16.0164
24	6.23604e-19	13.3375
28	6.23674e-19	11.4652
32	6.23614e-19	10.0105
36	6.23448e-19	8.89402
40	6.2341e-19	7.98427
44	6.23386e-19	7.27775
48	6.23624e-19	6.6657
52	6.2338e-19	6.12985
56	6.2404e-19	5.70104
60	6.23963e-19	5.33063
64	6.2403e-19	4.98511
68	6.23963e-19	4.7225
72	6.24016e-19	4.46627
76	6.23835e-19	4.22048
80	6.23396e-19	3.99751
84	6.24483e-19	3.81882
88	6.23426e-19	3.65812
92	6.23513e-19	3.45797
96	6.23658e-19	3.3222
100	6.23456e-19	3.21184
104	6.24112e-19	3.07628
108	6.24489e-19	2.96833
112	6.24016e-19	2.85371
116	6.24395e-19	2.75104
120	6.23927e-19	2.66748
124	6.24227e-19	2.58998
128	6.24769e-19	2.49105
132	6.24522e-19	2.43418
136	6.25055e-19	2.37839
140	6.23743e-19	2.29899
144	6.25138e-19	2.24551
148	6.24651e-19	2.15959
152	6.24821e-19	2.10367
156	6.23129e-19	2.027
160	6.24561e-19	2.0017
164	6.23717e-19	1.949
168	6.25795e-19	1.92417
172	6.253e-19	1.83615
176	6.23378e-19	1.81525
180	6.24043e-19	1.79299
184	6.24816e-19	1.73446
188	6.23548e-19	1.70809
192	6.24784e-19	1.65892
196	6.24063e-19	1.63092
