dL	Probabilidad	Tiempo (s)
1	4.52707e-30	891.694
4	4.47566e-30	242.411
8	4.15981e-30	113.295
12	3.65919e-30	75.4906
16	2.40879e-30	56.4339
20	2.96934e-30	45.2892
24	2.33781e-30	37.7883
28	1.57395e-30	32.3768
32	1.66063e-29	28.2995
36	1.94596e-31	25.2701
40	1.60368e-32	22.7217
44	1.40191e-31	20.5688
48	8.54955e-31	18.8942
52	1.12968e-29	17.366
56	7.46204e-30	16.2515
60	4.66425e-29	15.0931
64	3.60926e-28	14.1542
68	6.88167e-30	13.3997
72	5.99455e-30	12.5966
76	1.61347e-26	11.9132
80	3.0916e-25	11.3083
84	2.0426e-19	10.8934
88	4.14465e-22	10.3381
92	8.16284e-27	9.88352
96	1.06005e-26	9.43138
100	5.1701e-28	9.06349
104	1.37918e-28	8.68803
108	1.42571e-29	8.37072
112	4.21703e-29	8.12153
116	1.04747e-29	7.85547
120	3.21301e-29	7.55966
124	6.1004e-30	7.27925
128	3.7517e-30	7.10659
132	9.64146e-30	6.87382
136	3.41882e-29	6.65301
140	8.0673e-29	6.46801
144	9.48581e-29	6.30718
148	4.54162e-28	6.10986
152	1.16276e-26	5.96947
156	1.50359e-26	5.78529
160	2.98437e-25	5.67642
164	6.90501e-22	5.51941
168	2.04492e-19	5.52044
172	2.96234e-23	5.29984
176	3.92151e-22	5.19735
180	1.24903e-23	5.02525
184	5.92954e-27	4.92858
188	3.17385e-26	4.8383
192	5.65834e-27	4.75221
196	7.42209e-28	4.62346
