dL	Probabilidad	Tiempo (s)
1	1.16364e-27	322.291
4	1.16779e-27	80.2479
8	1.13757e-27	40.9205
12	9.86722e-28	26.8611
16	8.7861e-28	20.0799
20	8.14138e-28	16.0789
24	6.01215e-28	13.4035
28	4.34198e-28	11.4889
32	1.97022e-28	10.0355
36	1.97497e-28	8.95436
40	6.20597e-29	8.0344
44	8.25699e-30	7.31413
48	7.59968e-30	6.69703
52	1.32608e-28	6.16659
56	4.22398e-28	5.7267
60	8.75195e-28	5.34423
64	3.78975e-27	4.99771
68	2.82216e-27	4.72101
72	4.70318e-28	4.46525
76	9.20986e-29	4.2262
80	1.50084e-26	4.0122
84	9.31295e-25	3.82487
88	3.1137e-22	3.66981
92	5.11391e-19	3.48047
96	3.79148e-22	3.34826
100	3.8335e-24	3.21948
104	1.10049e-25	3.08021
108	7.1948e-26	2.97289
112	2.50149e-26	2.86927
116	7.02252e-27	2.7641
120	7.94267e-27	2.68599
124	1.82644e-28	2.60822
128	2.70564e-27	2.49925
132	1.08971e-27	2.44128
136	1.43397e-29	2.3881
140	5.40284e-29	2.31049
144	3.63886e-28	2.25812
148	1.76669e-27	2.17254
152	2.05244e-27	2.11275
156	1.30504e-26	2.03296
160	1.41221e-26	2.00486
164	6.58753e-26	1.95614
168	6.23299e-25	1.93062
172	1.98869e-23	1.84836
176	2.94552e-22	1.81808
180	4.00852e-23	1.78853
184	5.12371e-19	1.73742
188	4.56981e-21	1.71654
192	3.52788e-22	1.6614
196	3.58206e-23	1.63579
