dL	Probabilidad	Tiempo (s)
1	6.26036e-19	895.689
4	6.26036e-19	223.886
8	6.26036e-19	112.018
12	6.26093e-19	74.5697
16	6.26036e-19	56.0338
20	6.26037e-19	44.7444
24	6.26263e-19	37.4345
28	6.26319e-19	32.0177
32	6.26263e-19	28.0787
36	6.26095e-19	24.834
40	6.26037e-19	22.3663
44	6.26037e-19	20.4062
48	6.26256e-19	18.6451
52	6.26098e-19	17.208
56	6.26716e-19	16.0091
60	6.26603e-19	14.9295
64	6.26718e-19	14.0164
68	6.26548e-19	13.1628
72	6.26606e-19	12.4277
76	6.26546e-19	11.7931
80	6.26043e-19	11.1856
84	6.27109e-19	10.7308
88	6.26042e-19	10.2032
92	6.26219e-19	9.81834
96	6.26266e-19	9.36783
100	6.26063e-19	8.99784
104	6.26812e-19	8.59965
108	6.27128e-19	8.2826
112	6.26722e-19	8.00702
116	6.27125e-19	7.7473
120	6.26597e-19	7.47406
124	6.26774e-19	7.21509
128	6.27607e-19	7.0774
132	6.27318e-19	6.79732
136	6.2755e-19	6.56668
140	6.26327e-19	6.39419
144	6.27608e-19	6.20987
148	6.27425e-19	6.06673
152	6.27662e-19	5.91564
156	6.26077e-19	5.7269
160	6.27167e-19	5.58889
164	6.26391e-19	5.46228
168	6.2828e-19	5.36866
172	6.28225e-19	5.23004
176	6.26055e-19	5.09908
180	6.26602e-19	4.96128
184	6.27512e-19	4.89581
188	6.26081e-19	4.73831
192	6.27608e-19	4.65258
196	6.26775e-19	4.56096
