dL	Probabilidad	Tiempo (s)
1	2.50661e-28	325.029
4	2.06675e-28	81.0892
8	1.51542e-28	40.5429
12	2.86541e-28	27.2665
16	2.08127e-28	20.4374
20	4.9493e-29	16.3117
24	8.71745e-29	13.6083
28	5.72411e-29	11.6764
32	8.19489e-29	10.0948
36	1.31801e-29	8.97405
40	3.31952e-30	8.05327
44	5.20032e-30	7.32601
48	5.97444e-29	6.71897
52	5.26843e-28	6.19885
56	3.88481e-29	5.72757
60	1.91506e-27	5.36113
64	5.35003e-27	5.02759
68	1.11534e-26	4.75228
72	3.63831e-26	4.48617
76	3.59328e-26	4.25226
80	2.48055e-25	4.03917
84	2.05388e-19	3.83581
88	3.87265e-22	3.68391
92	1.50519e-25	3.50171
96	3.11296e-26	3.35884
100	3.28704e-27	3.22487
104	2.32588e-26	3.09021
108	5.45295e-29	2.98079
112	1.61968e-27	2.8856
116	4.4961e-27	2.78548
120	4.71979e-28	2.70548
124	2.53433e-28	2.60948
128	3.35125e-30	2.50724
132	7.89967e-28	2.45258
136	2.12635e-27	2.45401
140	5.08713e-27	2.35401
144	1.43614e-26	2.29803
148	1.47516e-26	2.21975
152	3.44809e-26	2.16119
156	1.22507e-25	2.09846
160	2.72741e-25	2.05623
164	6.95901e-22	1.99226
168	2.05572e-19	1.96994
172	3.60009e-23	1.88406
176	3.64936e-22	1.86304
180	1.5266e-23	1.83214
184	1.09768e-25	1.77086
188	9.50878e-27	1.74958
192	2.57895e-27	1.69461
196	3.75807e-26	1.67457
