dL	Probabilidad	Tiempo (ms)
1	1.51099e-29	8.75406e+08
10	1.42701e-29	8.76791e+07
20	6.23873e-30	4.34674e+07
30	3.90917e-30	2.92525e+07
40	3.32318e-31	2.16974e+07
50	2.56028e-30	1.73958e+07
60	4.21497e-29	1.44358e+07
70	2.09212e-28	1.22833e+07
80	1.66171e-28	1.08877e+07
90	4.79527e-23	9.73611e+06
100	2.46469e-24	8.68039e+06
110	1.30496e-28	7.94922e+06
120	5.85161e-29	7.31175e+06
130	5.10363e-30	6.86709e+06
140	2.39121e-30	6.31324e+06
150	2.09178e-30	5.96435e+06
160	4.28528e-29	5.51453e+06
170	1.64496e-26	5.22245e+06
180	4.75174e-23	4.88969e+06
190	1.28254e-21	4.64459e+06
200	1.93661e-24	4.40109e+06
210	8.3782e-27	4.21632e+06
220	2.6704e-29	3.95759e+06
230	3.06085e-31	3.74783e+06
240	2.03803e-29	3.57585e+06
250	9.65891e-26	3.4862e+06
260	4.74681e-24	3.406e+06
270	4.65449e-23	3.27377e+06
280	1.12812e-20	3.16547e+06
290	6.84106e-24	3.03308e+06
300	1.22766e-24	2.94743e+06
310	1.41497e-26	2.79729e+06
320	9.40604e-30	2.66691e+06
330	1.30308e-26	2.5858e+06
340	9.52617e-27	2.55337e+06
350	1.73848e-23	2.50763e+06
360	4.55326e-23	2.41926e+06
370	3.86848e-20	2.34674e+06
380	1.10741e-21	2.29755e+06
390	6.26046e-24	2.20951e+06
400	5.08791e-25	2.16223e+06
410	4.34487e-27	2.12239e+06
420	5.11686e-26	2.08877e+06
430	5.28346e-24	1.99763e+06
440	2.19027e-22	1.95615e+06
450	4.44447e-23	1.90621e+06
460	5.16062e-19	1.86949e+06
470	4.01411e-21	1.8216e+06
480	2.36024e-22	1.78004e+06
490	8.82126e-24	1.73389e+06
500	1.16155e-25	1.75217e+06
510	2.35111e-27	1.76423e+06
520	1.61332e-24	1.70766e+06
530	3.69448e-23	1.64396e+06
540	4.2118e-23	1.60565e+06
550	5.92482e-19	1.60406e+06
560	1.04383e-20	1.5573e+06
570	8.42573e-22	1.51454e+06
580	2.25594e-24	1.51604e+06
590	1.17529e-24	1.47169e+06
600	8.41987e-26	1.47051e+06
610	2.59994e-23	1.43242e+06
620	4.9043e-22	1.40869e+06
630	4.17771e-23	1.38381e+06
640	3.62919e-19	1.3918e+06
650	8.6797e-21	1.3482e+06
660	1.95015e-21	1.29579e+06
670	3.50509e-23	1.29277e+06
680	9.78264e-24	1.25448e+06
690	2.1069e-25	1.25475e+06
700	3.91912e-24	1.25563e+06
710	5.95666e-22	1.21638e+06
720	4.05442e-23	1.25375e+06
730	1.61207e-19	1.16555e+06
740	3.77736e-20	1.19499e+06
750	6.22411e-22	1.17268e+06
760	5.94495e-22	1.12852e+06
770	3.57014e-23	1.12153e+06
780	1.20793e-27	1.08086e+06
790	3.69052e-23	1.07941e+06
800	3.81207e-22	1.08303e+06
810	3.23762e-23	1.04346e+06
820	5.59596e-20	1.08455e+06
830	2.6209e-19	1.04855e+06
840	9.24027e-21	1.04178e+06
850	3.83182e-22	996188
860	1.75109e-24	995987
870	3.76793e-25	995854
880	1.69694e-23	960415
890	1.0086e-22	952986
900	4.18401e-23	954203
910	1.27364e-20	953659
920	5.19168e-19	907601
930	1.66062e-20	911259
940	2.52761e-21	913308
950	3.58392e-22	911817
960	1.20832e-23	869218
970	1.15833e-23	867500
980	6.17188e-24	864142
990	4.17319e-23	864611
