dL	Probabilidad	Tiempo (ms)
1	4.52707e-30	8.72942e+08
10	4.38672e-30	8.76878e+07
20	2.96934e-30	4.38163e+07
30	1.0707e-30	2.92454e+07
40	1.60368e-32	2.18738e+07
50	5.73532e-30	1.72569e+07
60	4.66425e-29	1.47659e+07
70	2.26842e-29	1.25828e+07
80	3.0916e-25	1.0975e+07
90	1.42484e-23	9.52119e+06
100	5.1701e-28	8.56926e+06
110	5.72767e-29	7.7774e+06
120	3.21301e-29	7.19336e+06
130	1.451e-30	6.63577e+06
140	8.0673e-29	6.17711e+06
150	9.5704e-28	5.7789e+06
160	2.98437e-25	5.50919e+06
170	5.22618e-20	5.19925e+06
180	1.24903e-23	4.87765e+06
190	1.25466e-26	4.62067e+06
200	1.14112e-28	4.41469e+06
210	8.63883e-31	4.23437e+06
220	6.23685e-29	3.99401e+06
230	3.84523e-27	3.7984e+06
240	2.25031e-25	3.68266e+06
250	2.16883e-20	3.5164e+06
260	7.37737e-22	3.3788e+06
270	9.87287e-24	3.28281e+06
280	1.21291e-25	3.16062e+06
290	1.95767e-29	3.03117e+06
300	2.77318e-29	2.93592e+06
310	1.26872e-25	2.81659e+06
320	2.20519e-25	2.72098e+06
330	4.05266e-21	2.63085e+06
340	5.21557e-20	2.56808e+06
350	1.66435e-22	2.48944e+06
360	6.69777e-24	2.40783e+06
370	1.4635e-25	2.32501e+06
380	1.83518e-30	2.2801e+06
390	2.11301e-27	2.2007e+06
400	1.45219e-25	2.15448e+06
410	5.8028e-22	2.11476e+06
420	2.03471e-19	2.07846e+06
430	2.77275e-23	2.01593e+06
440	2.61237e-22	1.97374e+06
450	3.84551e-24	1.92789e+06
460	1.40579e-28	1.88446e+06
470	2.20814e-25	1.8412e+06
480	9.12251e-26	1.79789e+06
490	5.4063e-22	1.76136e+06
500	2.07483e-20	1.7575e+06
510	5.14702e-20	1.75126e+06
520	6.04096e-22	1.71578e+06
530	3.03883e-23	1.66626e+06
540	1.22242e-24	1.62255e+06
550	1.59339e-26	1.62272e+06
560	1.30144e-27	1.57989e+06
570	1.28446e-24	1.50494e+06
580	2.08512e-22	1.50219e+06
590	5.68367e-19	1.46225e+06
600	1.1261e-20	1.48508e+06
610	7.89067e-22	1.45302e+06
620	5.16845e-24	1.4103e+06
630	3.85565e-25	1.40654e+06
640	4.34899e-25	1.36181e+06
650	9.17345e-23	1.35847e+06
660	3.13213e-21	1.31755e+06
670	1.21089e-20	1.31465e+06
680	5.10065e-20	1.28033e+06
690	3.08366e-21	1.27036e+06
700	7.56581e-23	1.2721e+06
710	4.54104e-24	1.22715e+06
720	1.47979e-25	1.22616e+06
730	9.41972e-23	1.1876e+06
740	1.11981e-22	1.18701e+06
750	1.93629e-20	1.1838e+06
760	6.3294e-19	1.13803e+06
770	1.88669e-20	1.14015e+06
780	4.2088e-22	1.10054e+06
790	1.77546e-23	1.09709e+06
800	7.69136e-25	1.11393e+06
810	2.04003e-23	1.03054e+06
820	2.80983e-22	1.02868e+06
830	1.56677e-21	1.02821e+06
840	2.00048e-19	1.03514e+06
850	5.06897e-20	992010
860	1.50763e-23	991173
870	2.34547e-22	1.00423e+06
880	2.25995e-23	980833
890	8.87158e-24	982112
900	3.21677e-22	968831
910	1.65911e-21	968203
920	2.58542e-22	922038
930	5.74082e-19	923003
940	1.70857e-20	922376
950	2.51379e-21	923320
960	1.82894e-22	878986
970	1.42019e-25	879054
980	1.0165e-22	879448
990	2.05441e-21	879236
