dL	Probabilidad	Tiempo (ms)
1	6.26036e-19	8.80515e+08
10	6.26036e-19	8.80797e+07
20	6.26037e-19	4.36317e+07
30	6.26178e-19	2.91959e+07
40	6.26037e-19	2.2071e+07
50	6.26037e-19	1.7624e+07
60	6.26603e-19	1.47023e+07
70	6.26316e-19	1.25952e+07
80	6.26043e-19	1.11116e+07
90	6.26596e-19	9.69598e+06
100	6.26063e-19	8.82301e+06
110	6.26029e-19	7.98542e+06
120	6.26597e-19	7.33643e+06
130	6.26467e-19	6.82643e+06
140	6.26327e-19	6.34192e+06
150	6.27457e-19	5.89981e+06
160	6.27167e-19	5.51738e+06
170	6.27015e-19	5.20586e+06
180	6.26602e-19	4.88509e+06
190	6.28188e-19	4.62187e+06
200	6.2606e-19	4.4026e+06
210	6.28281e-19	4.21108e+06
220	6.26005e-19	3.92097e+06
230	6.28128e-19	3.75784e+06
240	6.28294e-19	3.58048e+06
250	6.26017e-19	3.45764e+06
260	6.28271e-19	3.39161e+06
270	6.27855e-19	3.26361e+06
280	6.2831e-19	3.19056e+06
290	6.29549e-19	3.04176e+06
300	6.27456e-19	2.96489e+06
310	6.30325e-19	2.81964e+06
320	6.29438e-19	2.73824e+06
330	6.29159e-19	2.64378e+06
340	6.29401e-19	2.59727e+06
350	6.30244e-19	2.59389e+06
360	6.26603e-19	2.4714e+06
370	6.28464e-19	2.38068e+06
380	6.30881e-19	2.33154e+06
390	6.28284e-19	2.24342e+06
400	6.26106e-19	2.20553e+06
410	6.29792e-19	2.16271e+06
420	6.28284e-19	2.13765e+06
430	6.2701e-19	2.02461e+06
440	6.26017e-19	1.98159e+06
450	6.31724e-19	1.93778e+06
460	6.31393e-19	1.89583e+06
470	6.31464e-19	1.9438e+06
480	6.31705e-19	1.84745e+06
490	6.32276e-19	1.77455e+06
500	6.26099e-19	1.76422e+06
510	6.26978e-19	1.76816e+06
520	6.28301e-19	1.72763e+06
530	6.29892e-19	1.67682e+06
540	6.31695e-19	1.64366e+06
550	6.26036e-19	1.65967e+06
560	6.28258e-19	1.56291e+06
570	6.30814e-19	1.51714e+06
580	6.33782e-19	1.57508e+06
590	6.28533e-19	1.50772e+06
600	6.3177e-19	1.47525e+06
610	6.26526e-19	1.44944e+06
620	6.30391e-19	1.41899e+06
630	6.3409e-19	1.41858e+06
640	6.29505e-19	1.37066e+06
650	6.34098e-19	1.37433e+06
660	6.29062e-19	1.33277e+06
670	6.34169e-19	1.33465e+06
680	6.29312e-19	1.27998e+06
690	6.34381e-19	1.28469e+06
700	6.30348e-19	1.27827e+06
710	6.36139e-19	1.23529e+06
720	6.31684e-19	1.23345e+06
730	6.27856e-19	1.1907e+06
740	6.34198e-19	1.19561e+06
750	6.29192e-19	1.19236e+06
760	6.35904e-19	1.21865e+06
770	6.3239e-19	1.15011e+06
780	6.28045e-19	1.1082e+06
790	6.34839e-19	1.10742e+06
800	6.31698e-19	1.10434e+06
810	6.28866e-19	1.05794e+06
820	6.36575e-19	1.06888e+06
830	6.31917e-19	1.04141e+06
840	6.28178e-19	1.03581e+06
850	6.37421e-19	1.03195e+06
860	6.33547e-19	993502
870	6.28635e-19	996364
880	6.24004e-19	956994
890	6.33812e-19	951393
900	6.32163e-19	951113
910	6.29436e-19	952252
920	6.38192e-19	910714
930	6.34271e-19	906904
940	6.31758e-19	939636
950	6.30307e-19	918210
960	6.41706e-19	868821
970	6.37475e-19	867991
980	6.31793e-19	870074
990	6.2668e-19	868407
