Mass	ProbabilidadStandard	TiempoStandard (μs)	ProbabilidadGSL	ErrorGSLTiempoGSL (μs)
0.416	7.86428e-29	8.96427e+07	2.11053e-30	1.56992e-29	1.54011e+07
0.419	4.61276e-30	8.96427e+07	5.47777e-30	1.04146e-29	8.83037e+06
0.422	5.62631e-29	8.96427e+07	2.36892e-28	1.21269e-28	2.20974e+06
0.425	2.57265e-29	8.96427e+07	3.24994e-28	5.15992e-29	2.20595e+06
0.428	8.10034e-29	8.96427e+07	2.99376e-28	1.45489e-28	2.20148e+06
0.431	4.57047e-29	8.96427e+07	2.41154e-28	1.77913e-28	2.20118e+06
0.434	2.05299e-29	8.96427e+07	1.94575e-28	1.6104e-28	2.19789e+06
0.437	7.87466e-29	8.96427e+07	1.67215e-28	1.22661e-28	2.20385e+06
0.44	8.74574e-30	8.96428e+07	1.50705e-28	7.37746e-29	2.20649e+06
0.443	1.88662e-29	8.96427e+07	1.30219e-28	2.78974e-29	2.20428e+06
0.446	8.97468e-30	8.96428e+07	9.11099e-29	1.33516e-29	2.23905e+06
0.449	5.48779e-29	8.96428e+07	3.56437e-29	3.79552e-29	2.27137e+06
0.452	6.43542e-29	8.96428e+07	4.73593e-31	4.581e-30	2.21162e+06
0.455	1.55578e-30	8.96427e+07	2.47725e-29	4.26913e-29	2.20255e+06
0.458	6.52992e-30	8.96428e+07	6.37695e-29	2.2104e-29	2.19553e+06
0.461	8.5152e-30	8.96427e+07	3.13653e-29	1.89756e-29	2.2087e+06
0.464	1.21046e-29	8.96427e+07	1.73136e-30	7.01667e-30	2.20829e+06
0.467	2.30353e-29	8.96427e+07	4.19626e-29	1.60433e-29	2.20641e+06
0.47	5.73418e-29	8.96427e+07	1.27571e-29	1.27883e-29	2.21405e+06
0.473	7.35623e-29	8.96427e+07	1.62716e-29	1.91717e-29	2.21049e+06
0.476	1.84668e-29	8.96428e+07	2.09081e-29	8.44111e-30	2.21397e+06
0.479	4.53136e-30	8.96427e+07	9.46621e-30	1.30529e-29	2.21277e+06
0.482	1.15604e-29	8.96427e+07	1.45264e-29	7.48225e-30	2.20234e+06
0.485	1.23513e-29	8.96427e+07	1.46114e-29	1.05854e-29	2.20116e+06
0.488	8.5485e-30	8.96427e+07	2.14093e-30	3.40231e-30	2.2016e+06
0.491	2.59161e-30	8.96428e+07	1.84484e-29	1.29715e-30	2.19692e+06
0.494	2.2363e-29	8.96428e+07	5.98649e-30	6.91037e-30	2.20966e+06
0.497	4.97054e-30	8.96427e+07	1.22752e-30	2.08802e-30	2.20262e+06
