Precisión	Probabilidad	Error	Tiempo (ms)
0.1	0	0	88687
0.118	2.46763e-26	5.03477e-27	85126
0.136	2.37199e-26	6.14406e-27	82147
0.154	2.37131e-26	6.14417e-27	58835
0.172	2.3713e-26	6.14449e-27	39464
0.19	2.37139e-26	6.14482e-27	38025
0.208	2.37139e-26	6.14482e-27	37772
0.226	2.37142e-26	6.14519e-27	35069
0.244	2.266e-26	1.10178e-26	29600
0.262	2.83095e-26	1.47561e-26	24160
0.28	2.83098e-26	1.47564e-26	23266
0.298	2.83098e-26	1.47564e-26	23225
0.316	2.83098e-26	1.47564e-26	23061
0.334	2.83107e-26	1.47568e-26	21618
0.352	2.83231e-26	1.47576e-26	17521
0.37	2.83729e-26	1.47593e-26	14748
0.388	2.83729e-26	1.47593e-26	14881
0.406	2.83528e-26	1.47596e-26	13571
0.424	2.83528e-26	1.47596e-26	13616
0.442	2.83528e-26	1.47596e-26	13497
0.46	2.83367e-26	1.476e-26	8097
0.478	2.87818e-26	1.47853e-26	1361
0.496	2.87818e-26	1.47853e-26	1360
0.514	2.87818e-26	1.47853e-26	1362
0.532	2.87818e-26	1.47853e-26	1357
0.55	2.87818e-26	1.47853e-26	1351
0.568	2.87818e-26	1.47853e-26	1355
0.586	2.87818e-26	1.47853e-26	1359
0.604	2.87818e-26	1.47853e-26	1365
0.622	2.87818e-26	1.47853e-26	1346
0.64	2.87818e-26	1.47853e-26	1342
0.658	2.87818e-26	1.47853e-26	1337
0.676	2.87818e-26	1.47853e-26	1346
0.694	2.87818e-26	1.47853e-26	1341
0.712	2.87818e-26	1.47853e-26	1356
0.73	2.87818e-26	1.47853e-26	1354
0.748	2.87818e-26	1.47853e-26	1359
0.766	2.87818e-26	1.47853e-26	1357
0.784	2.87818e-26	1.47853e-26	1367
0.802	2.87818e-26	1.47853e-26	1363
0.82	2.87818e-26	1.47853e-26	1357
0.838	2.87818e-26	1.47853e-26	1361
0.856	2.87818e-26	1.47853e-26	1357
0.874	2.87818e-26	1.47853e-26	1353
0.892	2.87818e-26	1.47853e-26	1351
0.91	2.87818e-26	1.47853e-26	1359
0.928	2.87818e-26	1.47853e-26	1372
0.946	2.87818e-26	1.47853e-26	1331
0.964	2.87818e-26	1.47853e-26	1379
0.982	2.87818e-26	1.47853e-26	1337
