Precisión	Probabilidad	Error	Tiempo (ms)
0.1	9.65057e-28	2.5461e-28	6696
0.118	9.65057e-28	2.5461e-28	6888
0.136	8.949e-28	3.42913e-28	1359
0.154	8.949e-28	3.42913e-28	1361
0.172	8.949e-28	3.42913e-28	1394
0.19	8.949e-28	3.42913e-28	1325
0.208	8.949e-28	3.42913e-28	1344
0.226	8.949e-28	3.42913e-28	1335
0.244	8.949e-28	3.42913e-28	1339
0.262	8.949e-28	3.42913e-28	1336
0.28	8.949e-28	3.42913e-28	1332
0.298	8.949e-28	3.42913e-28	1347
0.316	8.949e-28	3.42913e-28	1345
0.334	8.949e-28	3.42913e-28	1355
0.352	8.949e-28	3.42913e-28	1353
0.37	8.949e-28	3.42913e-28	1355
0.388	8.949e-28	3.42913e-28	1358
0.406	8.949e-28	3.42913e-28	1367
0.424	8.949e-28	3.42913e-28	1363
0.442	8.949e-28	3.42913e-28	1360
0.46	8.949e-28	3.42913e-28	1360
0.478	8.949e-28	3.42913e-28	1359
0.496	8.949e-28	3.42913e-28	1340
0.514	8.949e-28	3.42913e-28	1339
0.532	8.949e-28	3.42913e-28	1339
0.55	8.949e-28	3.42913e-28	1338
0.568	8.949e-28	3.42913e-28	1330
0.586	8.949e-28	3.42913e-28	1376
0.604	8.949e-28	3.42913e-28	1345
0.622	8.949e-28	3.42913e-28	1346
0.64	8.949e-28	3.42913e-28	1342
0.658	8.949e-28	3.42913e-28	1339
0.676	8.949e-28	3.42913e-28	1335
0.694	8.949e-28	3.42913e-28	1334
0.712	8.949e-28	3.42913e-28	1348
0.73	8.949e-28	3.42913e-28	1361
0.748	8.949e-28	3.42913e-28	1359
0.766	8.949e-28	3.42913e-28	1352
0.784	8.949e-28	3.42913e-28	1355
0.802	8.949e-28	3.42913e-28	1356
0.82	8.949e-28	3.42913e-28	1339
0.838	8.949e-28	3.42913e-28	1340
0.856	8.949e-28	3.42913e-28	1334
0.874	8.949e-28	3.42913e-28	1345
0.892	8.949e-28	3.42913e-28	1337
0.91	8.949e-28	3.42913e-28	1336
0.928	8.949e-28	3.42913e-28	1346
0.946	8.949e-28	3.42913e-28	1344
0.964	8.949e-28	3.42913e-28	1338
0.982	8.949e-28	3.42913e-28	1342
