dL	Probabilidad	Tiempo (ms)
1	1.96865e-26	3.2576e+08
10	1.96004e-26	3.2582e+07
20	1.91109e-26	1.62991e+07
30	1.77803e-26	1.08346e+07
40	1.71438e-26	8.17107e+06
50	1.6347e-26	6.49871e+06
60	1.35581e-26	5.40697e+06
70	1.14898e-26	4.54522e+06
80	9.74677e-27	3.99076e+06
90	8.2926e-27	3.53711e+06
100	8.15843e-27	3.27292e+06
110	6.26406e-27	2.89956e+06
120	2.68372e-27	2.65647e+06
130	2.41784e-27	2.46977e+06
140	5.52114e-28	2.31771e+06
150	1.39874e-28	2.13e+06
160	9.01897e-29	1.99907e+06
170	4.21115e-28	1.98247e+06
180	1.02959e-27	1.83753e+06
190	9.82446e-27	1.71814e+06
200	1.42999e-26	1.63483e+06
210	4.08512e-26	1.55132e+06
220	2.94413e-26	1.50107e+06
230	5.90204e-26	1.44286e+06
240	4.33452e-25	1.35836e+06
250	6.64561e-24	1.31231e+06
260	2.70433e-23	1.25385e+06
270	3.16422e-22	1.19955e+06
280	9.46887e-22	1.17176e+06
290	1.68118e-21	1.12227e+06
300	4.14695e-21	1.10811e+06
310	6.02267e-19	1.03402e+06
320	2.5026e-20	1.03318e+06
330	9.92159e-21	977823
340	4.15937e-21	980127
350	8.82924e-22	931405
360	1.92881e-24	929519
370	1.38945e-22	871436
380	6.54935e-23	843400
390	6.67978e-25	858497
400	1.74851e-23	815399
410	1.19455e-24	790800
420	1.73557e-24	788525
430	4.61691e-25	761588
440	1.70613e-25	731266
450	2.6718e-26	705031
460	1.08584e-27	710493
470	5.10755e-28	707903
480	2.591e-26	678457
490	1.27806e-27	653832
500	1.14338e-24	655349
510	9.31399e-24	649955
520	9.51854e-24	625461
530	1.19021e-23	625473
540	1.71794e-22	596843
550	4.81938e-23	574069
560	6.75696e-22	603794
570	1.57816e-21	572149
580	1.44192e-21	570852
590	1.32915e-20	545420
600	4.02113e-21	543966
610	1.53662e-19	515279
620	6.02134e-19	519742
630	3.92054e-19	514814
640	2.44234e-20	517883
650	1.60277e-20	517167
660	8.8825e-21	493337
670	7.58525e-22	491578
680	3.15697e-21	492257
690	1.4482e-22	462613
700	5.19413e-22	465603
710	2.92361e-22	436619
720	1.52008e-24	463490
730	9.5474e-23	463722
740	2.14907e-23	434160
750	3.32355e-25	436237
760	7.63641e-24	433677
770	9.4783e-25	436352
780	2.12072e-26	405340
790	6.82328e-25	407803
800	3.71413e-24	409959
810	2.85102e-23	379990
820	1.24634e-23	382172
830	1.74567e-22	378807
840	4.10189e-22	406873
850	1.04274e-22	410080
860	2.45558e-21	379895
870	1.03808e-21	383229
880	3.48669e-21	379527
890	1.83583e-20	381404
900	3.79267e-21	354927
910	4.45107e-20	352985
920	3.15959e-19	352211
930	6.06189e-19	356316
940	5.39945e-19	351802
950	2.23179e-19	326479
960	2.34926e-20	327638
970	5.01196e-21	325313
980	1.79958e-20	326940
990	7.65518e-21	327529
