dL	Probabilidad	Tiempo (ms)
1	1.16364e-27	3.25273e+08
10	1.12411e-27	3.23768e+07
20	8.14138e-28	1.62581e+07
30	3.32003e-28	1.08374e+07
40	6.20597e-29	8.10872e+06
50	7.17151e-29	6.4963e+06
60	8.75195e-28	5.44183e+06
70	8.15919e-27	4.71258e+06
80	1.50084e-26	3.99886e+06
90	4.06375e-23	3.56112e+06
100	3.8335e-24	3.23731e+06
110	3.70354e-26	2.90348e+06
120	7.94267e-27	2.66653e+06
130	1.78907e-27	2.45442e+06
140	5.40284e-29	2.32265e+06
150	3.62781e-27	2.19962e+06
160	1.41221e-26	2.03401e+06
170	1.25219e-25	1.88307e+06
180	4.00852e-23	1.78934e+06
190	1.24265e-21	1.68029e+06
200	2.95056e-24	1.61622e+06
210	6.54826e-26	1.53117e+06
220	2.09314e-27	1.47255e+06
230	3.34178e-29	1.39655e+06
240	5.29194e-27	1.36248e+06
250	9.46592e-26	1.31669e+06
260	7.46443e-24	1.2528e+06
270	4.10092e-23	1.19566e+06
280	1.13864e-20	1.16837e+06
290	4.03059e-24	1.11346e+06
300	1.96645e-24	1.08443e+06
310	2.58615e-27	1.03564e+06
320	3.23215e-28	1.03168e+06
330	3.37466e-27	975219
340	4.92586e-26	1.00105e+06
350	2.07404e-23	931335
360	3.82247e-23	926774
370	3.93354e-20	879636
380	1.07631e-21	843009
390	8.32964e-24	844819
400	8.27979e-25	817547
410	6.75132e-28	789334
420	4.20491e-26	787481
430	6.42943e-24	764345
440	1.99493e-22	735453
450	3.60537e-23	707536
460	5.14835e-19	708603
470	4.04211e-21	709114
480	2.19558e-22	679805
490	9.2555e-24	652697
500	1.52631e-25	655475
510	2.66292e-27	651218
520	2.54102e-24	625193
530	3.76252e-23	625794
540	3.32389e-23	596846
550	5.89429e-19	571900
560	1.04878e-20	600031
570	8.17496e-22	570183
580	1.44733e-24	573923
590	1.57817e-24	543121
600	1.19101e-25	553925
610	2.15337e-23	505481
620	4.57304e-22	509854
630	4.11478e-23	508701
640	3.63291e-19	507772
650	8.80591e-21	509585
660	1.89962e-21	494412
670	3.0988e-23	488929
680	1.02967e-23	493555
690	2.39346e-25	462450
700	4.9977e-24	465712
710	5.82828e-22	433319
720	3.61804e-23	464482
730	1.62009e-19	475312
740	3.84647e-20	436408
750	6.71701e-22	433569
760	5.72379e-22	432845
770	3.68061e-23	440080
780	1.7607e-27	406288
790	3.49058e-23	412263
800	3.77439e-22	408465
810	3.08891e-23	381195
820	5.69944e-20	382935
830	2.63265e-19	380790
840	9.25898e-21	408803
850	3.74081e-22	407301
860	2.18922e-24	381308
870	4.10426e-25	385110
880	1.58532e-23	380235
890	9.91133e-23	382936
900	4.32951e-23	354027
910	1.29876e-20	353498
920	5.1819e-19	354176
930	1.68768e-20	351744
940	2.54812e-21	350728
950	3.50076e-22	328810
960	1.08899e-23	325240
970	1.0789e-23	325039
980	8.68331e-24	329301
990	3.01762e-23	326692
