dL	Probabilidad	Tiempo (ms)
1	4.52707e-30	8.86999e+08
10	4.38672e-30	8.89456e+07
20	2.96934e-30	4.45096e+07
30	1.0707e-30	2.94416e+07
40	1.60368e-32	2.19399e+07
50	5.73532e-30	1.75915e+07
60	4.66425e-29	1.45773e+07
70	2.26842e-29	1.26586e+07
80	3.0916e-25	1.11077e+07
90	1.42484e-23	9.86876e+06
100	5.1701e-28	8.82512e+06
110	5.72767e-29	7.93259e+06
120	3.21301e-29	7.30752e+06
130	1.451e-30	6.71728e+06
140	8.0673e-29	6.24363e+06
150	9.5704e-28	5.84033e+06
160	2.98437e-25	5.452e+06
170	5.22618e-20	5.18228e+06
180	1.24903e-23	4.92331e+06
190	1.25466e-26	4.68553e+06
200	1.14112e-28	4.44078e+06
210	8.63883e-31	4.25451e+06
220	6.23685e-29	4.03424e+06
230	3.84523e-27	3.87036e+06
240	2.25031e-25	3.64289e+06
250	2.16883e-20	3.511e+06
260	7.37737e-22	3.34732e+06
270	9.87287e-24	3.23689e+06
280	1.21291e-25	3.12985e+06
290	1.95767e-29	3.00798e+06
300	2.77318e-29	2.924e+06
310	1.26872e-25	2.79004e+06
320	2.20519e-25	2.70684e+06
330	4.05266e-21	2.62113e+06
340	5.21557e-20	2.58126e+06
350	1.66435e-22	2.54051e+06
360	6.69777e-24	2.44982e+06
370	1.4635e-25	2.36794e+06
380	1.83518e-30	2.32108e+06
390	2.11301e-27	2.2345e+06
400	1.45219e-25	2.1878e+06
410	5.8028e-22	2.14447e+06
420	2.03471e-19	2.10453e+06
430	2.77275e-23	2.01466e+06
440	2.61237e-22	1.96453e+06
450	3.84551e-24	1.93711e+06
460	1.40579e-28	1.91601e+06
470	2.20814e-25	1.87704e+06
480	9.12251e-26	1.83019e+06
490	5.4063e-22	1.78004e+06
500	2.07483e-20	1.77571e+06
510	5.14702e-20	1.77927e+06
520	6.04096e-22	1.734e+06
530	3.03883e-23	1.68497e+06
540	1.22242e-24	1.64201e+06
550	1.59339e-26	1.64412e+06
560	1.30144e-27	1.59504e+06
570	1.28446e-24	1.55021e+06
580	2.08512e-22	1.54551e+06
590	5.68367e-19	1.50083e+06
600	1.1261e-20	1.50569e+06
610	7.89067e-22	1.46333e+06
620	5.16845e-24	1.41594e+06
630	3.85565e-25	1.41468e+06
640	4.34899e-25	1.37923e+06
650	9.17345e-23	1.37595e+06
660	3.13213e-21	1.33087e+06
670	1.21089e-20	1.32644e+06
680	5.10065e-20	1.28391e+06
690	3.08366e-21	1.28268e+06
700	7.56581e-23	1.28321e+06
710	4.54104e-24	1.24088e+06
720	1.47979e-25	1.24033e+06
730	9.41972e-23	1.19254e+06
740	1.11981e-22	1.22738e+06
750	1.93629e-20	1.19697e+06
760	6.3294e-19	1.15373e+06
770	1.88669e-20	1.1497e+06
780	4.2088e-22	1.10658e+06
790	1.77546e-23	1.10758e+06
800	7.69136e-25	1.10892e+06
810	2.04003e-23	1.06584e+06
820	2.80983e-22	1.07993e+06
830	1.56677e-21	1.06018e+06
840	2.00048e-19	1.06182e+06
850	5.06897e-20	1.01964e+06
860	1.50763e-23	1.01855e+06
870	2.34547e-22	1.02482e+06
880	2.25995e-23	975761
890	8.87158e-24	976534
900	3.21677e-22	992903
910	1.65911e-21	973391
920	2.58542e-22	934372
930	5.74082e-19	931366
940	1.70857e-20	928914
950	2.51379e-21	930946
960	1.82894e-22	888386
970	1.42019e-25	885584
980	1.0165e-22	885523
990	2.05441e-21	883189
