dL	Probabilidad	Tiempo (ms)
1	6.26036e-19	9.01312e+08
10	6.26036e-19	8.81946e+07
20	6.26037e-19	4.41344e+07
30	6.26178e-19	2.96186e+07
40	6.26037e-19	2.22815e+07
50	6.26037e-19	1.77909e+07
60	6.26603e-19	1.48528e+07
70	6.26316e-19	1.2724e+07
80	6.26043e-19	1.10982e+07
90	6.26596e-19	9.85413e+06
100	6.26063e-19	8.8804e+06
110	6.26029e-19	7.98592e+06
120	6.26597e-19	7.48621e+06
130	6.26467e-19	7.0463e+06
140	6.26327e-19	6.2874e+06
150	6.27457e-19	5.93714e+06
160	6.27167e-19	5.56866e+06
170	6.27015e-19	5.25237e+06
180	6.26602e-19	4.96248e+06
190	6.28188e-19	4.58241e+06
200	6.2606e-19	4.37268e+06
210	6.28281e-19	4.21876e+06
220	6.26005e-19	3.98876e+06
230	6.28128e-19	3.81287e+06
240	6.28294e-19	3.62706e+06
250	6.26017e-19	3.50897e+06
260	6.28271e-19	3.42947e+06
270	6.27855e-19	3.28584e+06
280	6.2831e-19	3.20374e+06
290	6.29549e-19	3.0641e+06
300	6.27456e-19	2.98017e+06
310	6.30325e-19	2.857e+06
320	6.29438e-19	2.75282e+06
330	6.29159e-19	2.66517e+06
340	6.29401e-19	2.56971e+06
350	6.30244e-19	2.53907e+06
360	6.26603e-19	2.45236e+06
370	6.28464e-19	2.3656e+06
380	6.30881e-19	2.32431e+06
390	6.28284e-19	2.23316e+06
400	6.26106e-19	2.19054e+06
410	6.29792e-19	2.14659e+06
420	6.28284e-19	2.13708e+06
430	6.2701e-19	2.0201e+06
440	6.26017e-19	1.97211e+06
450	6.31724e-19	1.93495e+06
460	6.31393e-19	1.9005e+06
470	6.31464e-19	1.87912e+06
480	6.31705e-19	1.78588e+06
490	6.32276e-19	1.7491e+06
500	6.26099e-19	1.76861e+06
510	6.26978e-19	1.8066e+06
520	6.28301e-19	1.73791e+06
530	6.29892e-19	1.68908e+06
540	6.31695e-19	1.65123e+06
550	6.26036e-19	1.64642e+06
560	6.28258e-19	1.60239e+06
570	6.30814e-19	1.56009e+06
580	6.33782e-19	1.56266e+06
590	6.28533e-19	1.5117e+06
600	6.3177e-19	1.51298e+06
610	6.26526e-19	1.48465e+06
620	6.30391e-19	1.39796e+06
630	6.3409e-19	1.40093e+06
640	6.29505e-19	1.35757e+06
650	6.34098e-19	1.35468e+06
660	6.29062e-19	1.31516e+06
670	6.34169e-19	1.33884e+06
680	6.29312e-19	1.27099e+06
690	6.34381e-19	1.27268e+06
700	6.30348e-19	1.27474e+06
710	6.36139e-19	1.22519e+06
720	6.31684e-19	1.24058e+06
730	6.27856e-19	1.20533e+06
740	6.34198e-19	1.20536e+06
750	6.29192e-19	1.20334e+06
760	6.35904e-19	1.15709e+06
770	6.3239e-19	1.16042e+06
780	6.28045e-19	1.1131e+06
790	6.34839e-19	1.11226e+06
800	6.31698e-19	1.11229e+06
810	6.28866e-19	1.06827e+06
820	6.36575e-19	1.0683e+06
830	6.31917e-19	1.06341e+06
840	6.28178e-19	1.06684e+06
850	6.37421e-19	1.02386e+06
860	6.33547e-19	1.02476e+06
870	6.28635e-19	1.02628e+06
880	6.24004e-19	981005
890	6.33812e-19	974908
900	6.32163e-19	980355
910	6.29436e-19	976576
920	6.38192e-19	930572
930	6.34271e-19	936568
940	6.31758e-19	933184
950	6.30307e-19	930573
960	6.41706e-19	887861
970	6.37475e-19	890203
980	6.31793e-19	888554
990	6.2668e-19	888082
