dL	Probabilidad	Tiempo (ms)
1	2.50661e-28	3.21508e+08
10	1.26379e-28	3.25125e+07
20	4.9493e-29	1.60436e+07
30	1.19893e-28	1.06774e+07
40	3.31952e-30	8.10347e+06
50	1.14558e-28	6.53589e+06
60	1.91506e-27	5.42675e+06
70	4.88515e-27	4.63068e+06
80	2.48055e-25	4.06488e+06
90	1.81369e-23	3.63695e+06
100	3.28704e-27	3.25907e+06
110	2.28083e-28	3.00892e+06
120	4.71979e-28	2.71903e+06
130	3.55285e-28	2.49667e+06
140	5.08713e-27	2.32079e+06
150	3.05334e-26	2.16046e+06
160	2.72741e-25	1.99204e+06
170	5.28953e-20	1.88559e+06
180	1.5266e-23	1.77814e+06
190	9.20767e-27	1.67834e+06
200	2.67896e-27	1.60097e+06
210	5.78673e-29	1.52172e+06
220	5.78185e-27	1.46958e+06
230	2.68502e-26	1.41156e+06
240	1.59148e-25	1.33843e+06
250	2.20742e-20	1.28401e+06
260	6.8553e-22	1.23149e+06
270	1.30737e-23	1.17841e+06
280	2.94502e-26	1.15267e+06
290	1.69788e-27	1.09396e+06
300	1.59079e-27	1.11179e+06
310	5.71084e-27	1.03444e+06
320	1.7026e-25	1.01652e+06
330	4.04187e-21	962290
340	5.26888e-20	963407
350	1.53855e-22	910960
360	7.46745e-24	913139
370	1.02605e-25	885668
380	3.24447e-30	844275
390	1.06919e-26	840877
400	1.06735e-25	815693
410	5.8768e-22	786026
420	2.04522e-19	790678
430	3.40399e-23	763075
440	2.40544e-22	733571
450	5.69845e-24	707377
460	1.13047e-26	707028
470	1.66939e-25	706621
480	1.15463e-25	676065
490	4.99642e-22	653026
500	2.11288e-20	646719
510	5.19888e-20	637008
520	5.61695e-22	614774
530	3.37434e-23	615996
540	1.68358e-24	583789
550	2.30197e-26	562417
560	1.16455e-26	583076
570	7.34089e-25	565904
580	2.32923e-22	560474
590	5.66293e-19	535981
600	1.13547e-20	535854
610	7.66928e-22	507935
620	3.64015e-24	509879
630	4.78797e-25	511213
640	4.24008e-25	519551
650	8.55494e-23	516036
660	3.11956e-21	488951
670	1.22979e-20	489303
680	5.15327e-20	511860
690	3.18141e-21	462526
700	7.00673e-23	460689
710	2.93383e-24	435084
720	1.73321e-25	460310
730	9.27706e-23	464205
740	9.5521e-23	432859
750	1.96959e-20	435532
760	6.30823e-19	432715
770	1.9083e-20	436772
780	3.85141e-22	408551
790	1.53565e-23	406486
800	7.82641e-25	410481
810	1.666e-23	380990
820	2.9526e-22	382588
830	1.5378e-21	379288
840	2.00885e-19	407709
850	5.09925e-20	410466
860	2.30763e-23	381050
870	2.29229e-22	384257
880	2.21713e-23	382321
890	9.30426e-24	380278
900	3.09735e-22	357853
910	1.72904e-21	364612
920	2.58062e-22	353280
930	5.72573e-19	357997
940	1.73419e-20	354133
950	2.57125e-21	326721
960	1.68863e-22	329625
970	1.31499e-25	326492
980	9.57882e-23	326124
990	2.06427e-21	328599
