dL	Probabilidad	Tiempo (ms)
1	2.37318e-29	8.81746e+08
10	2.40022e-29	8.85434e+07
20	2.54525e-29	4.43275e+07
30	1.9593e-29	2.95353e+07
40	2.22683e-29	2.21866e+07
50	2.23172e-29	1.77375e+07
60	1.08975e-29	1.48247e+07
70	2.97101e-29	1.26335e+07
80	2.23628e-29	1.10718e+07
90	3.5158e-29	9.83277e+06
100	3.69227e-29	8.84892e+06
110	2.14229e-29	8.03095e+06
120	2.10965e-30	7.40368e+06
130	1.62789e-30	6.84428e+06
140	8.02341e-30	6.35824e+06
150	4.23371e-31	5.91464e+06
160	1.73526e-31	5.52452e+06
170	3.49105e-30	5.21664e+06
180	9.25035e-30	4.93367e+06
190	1.74657e-29	4.63671e+06
200	1.18281e-28	4.46495e+06
210	2.78091e-27	4.25412e+06
220	1.81774e-26	4.01724e+06
230	1.94479e-25	3.84424e+06
240	7.61967e-25	3.66884e+06
250	5.25736e-24	3.54063e+06
260	2.15452e-23	3.40616e+06
270	3.4143e-22	3.27281e+06
280	9.58399e-22	3.19046e+06
290	1.58544e-21	3.05686e+06
300	4.09432e-21	2.96806e+06
310	6.04971e-19	2.82767e+06
320	2.46979e-20	2.75e+06
330	9.83247e-21	2.65148e+06
340	4.19235e-21	2.61061e+06
350	8.91128e-22	2.56742e+06
360	2.36376e-24	2.48496e+06
370	1.45145e-22	2.39547e+06
380	7.36787e-23	2.35117e+06
390	3.16154e-25	2.26407e+06
400	1.44528e-23	2.22905e+06
410	9.2831e-25	2.17514e+06
420	1.67692e-24	2.12506e+06
430	2.49048e-25	2.03447e+06
440	2.38941e-25	1.99236e+06
450	2.46679e-27	1.94688e+06
460	1.36727e-27	1.90337e+06
470	1.16688e-27	1.8535e+06
480	5.65719e-26	1.81455e+06
490	1.13958e-26	1.79296e+06
500	1.03702e-24	1.77185e+06
510	8.0795e-24	1.78273e+06
520	7.47661e-24	1.72771e+06
530	1.37767e-23	1.68108e+06
540	1.847e-22	1.66549e+06
550	5.91301e-23	1.63999e+06
560	6.90417e-22	1.59579e+06
570	1.63199e-21	1.54693e+06
580	1.38318e-21	1.54918e+06
590	1.30866e-20	1.51531e+06
600	3.97359e-21	1.50032e+06
610	1.522e-19	1.45856e+06
620	6.04795e-19	1.4164e+06
630	3.91961e-19	1.41683e+06
640	2.41016e-20	1.37524e+06
650	1.58029e-20	1.37593e+06
660	8.8067e-21	1.32945e+06
670	7.10151e-22	1.32889e+06
680	3.17945e-21	1.28387e+06
690	1.69243e-22	1.28226e+06
700	5.23292e-22	1.30685e+06
710	3.26748e-22	1.24074e+06
720	2.08257e-24	1.24395e+06
730	9.85804e-23	1.1934e+06
740	2.3232e-23	1.19818e+06
750	1.98598e-25	1.19506e+06
760	7.53905e-24	1.15727e+06
770	8.56779e-25	1.17215e+06
780	1.52463e-26	1.10778e+06
790	7.41445e-25	1.11266e+06
800	3.07034e-24	1.10803e+06
810	3.40698e-23	1.06123e+06
820	1.25927e-23	1.07049e+06
830	1.90083e-22	1.0676e+06
840	4.18756e-22	1.06352e+06
850	1.06962e-22	1.01854e+06
860	2.46447e-21	1.01912e+06
870	9.94493e-22	1.01826e+06
880	3.53215e-21	977627
890	1.81841e-20	975706
900	3.74491e-21	977731
910	4.38819e-20	975584
920	3.15265e-19	929833
930	6.08101e-19	932567
940	5.41053e-19	931633
950	2.21726e-19	929018
960	2.2965e-20	888707
970	4.95464e-21	890137
980	1.76184e-20	889585
990	7.56287e-21	886691
